N	K	Confidence Interval Function	Confidence Interval Function Alpha	Condition	Filtering	Minimum Value	Minimizer	Risk	Elapsed Time
10	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.910581182910332	[0.3901024838, 0.5901024838, 0.0197950324]	0.08941881708966803	0.3069133758544922
10	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9277386038407678	[0.3098975162, 0.6098975162, 0.0802049676]	0.07226139615923222	0.14808249473571777
10	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.9482592658371165	[0.1901024838, 0.7098975162, 0.1]	0.051740734162883495	0.05544090270996094
10	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.969402691980569	[0.0901024838, 0.8098975162, 0.1]	0.030597308019430947	0.04621601104736328
10	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	0.991130551912789	[0.0901024838, 0.9098975162]	0.008869448087211018	0.007911205291748047
15	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.9021257927971145	[0.3469697376, 0.5469697376, 0.1060605248]	0.09787420720288553	2.040602207183838
20	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.9303882599481713	[0.3691306351, 0.5191306351, 0.1117387298]	0.06961174005182869	5.920943260192871
25	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.8994495801529147	[0.3640036015, 0.5159963985, 0.12]	0.10055041984708535	19.204711437225342
30	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.9046325929308071	[0.3210805856, 0.5210805856, 0.1578388288]	0.09536740706919289	39.6069712638855
15	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9322902058751461	[0.2530302624, 0.6530302624, 0.0939394752]	0.0677097941248539	1.1317970752716064
20	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9435236771219871	[0.3191306351, 0.6191306351, 0.0617387298]	0.05647632287801285	3.1963419914245605
25	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9142855227605331	[0.3240036015, 0.6040036015, 0.071992797]	0.0857144772394669	9.956831932067871
30	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9224564086137578	[0.3210805856, 0.6210805856, 0.0578388288]	0.07754359138624223	17.603988885879517
15	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.9595747413559974	[0.1469697376, 0.7469697376, 0.1060605248]	0.04042525864400259	0.5795707702636719
20	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.9640164227775462	[0.2691306351, 0.7191306351, 0.0117387298]	0.03598357722245382	1.4311134815216064
25	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.9464214085100529	[0.2440036015, 0.7159963985, 0.04]	0.05357859148994715	4.462223291397095
30	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.9498047869474564	[0.2210805856, 0.7210805856, 0.0578388288]	0.0501952130525436	8.953809976577759
15	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.9847347141231672	[0.0136364043, 0.1469697376, 0.8393938581]	0.015265285876832846	0.1495206356048584
20	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.9939685940729451	[0.1308693649, 0.8191306351, 0.05]	0.006031405927054867	0.4249413013458252
25	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.9752779471678839	[0.1640036015, 0.8040036015, 0.031992797]	0.024722052832116148	1.3870105743408203
30	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.98222047002506	[0.1210805856, 0.8210805856, 0.0578388288]	0.017779529974940034	2.423567533493042
15	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	0.999289340640903	[0.0136364043, 0.080303071, 0.9060605247]	0.0007106593590969768	0.0686793327331543
20	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	0.9993091986184587	[0.0308693649, 0.9191306351, 0.05]	0.0006908013815413172	0.07993555068969727
25	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	0.9961073437673648	[0.0440036015, 0.9159963985, 0.04]	0.0038926562326352387	0.44102001190185547
30	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	0.9991428680043927	[0.054413919, 0.9122527477, 0.0333333333]	0.0008571319956073298	0.45237207412719727
35	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.909322257827667	[0.3486385242, 0.5200670956, 0.1312943802]	0.09067774217233304	85.32561826705933
35	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9300828352058087	[0.2629242385, 0.6343528099, 0.1027229516]	0.0699171647941913	51.02661633491516
35	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.9523310218055352	[0.2343528099, 0.7200670956, 0.0455800945]	0.047668978194464806	23.03499460220337
35	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.9833521085002969	[0.1486385242, 0.8057813814, 0.0455800944]	0.016647891499703138	7.416055202484131
35	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	0.998227435804674	[0.0629242385, 0.9085043329, 0.0285714286]	0.0017725641953260096	1.6503300666809082
5	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.8798048976957535	[0.3617387297, 0.5617387297, 0.0765225406]	0.12019510230424646	0.023821115493774414
5	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9219250813692969	[0.1617387297, 0.6382612703, 0.2]	0.07807491863070315	0.023611068725585938
5	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.967290736464486	[0.1617387297, 0.8382612703]	0.032709263535513955	0.005998849868774414
5	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.967290736464486	[0.1617387297, 0.8382612703]	0.032709263535513955	0.004514932632446289
5	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	inf	[1]	-inf	0.002237081527709961
40	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.914908210006416	[0.3700512419, 0.5200512419, 0.1098975162]	0.08509178999358402	114.71825790405273
50	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.9274095873966604	[0.3585903824, 0.5185903824, 0.1228192352]	0.07259041260333965	269.09923791885376
60	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.919631325784227	[0.3734848688, 0.5068182021, 0.1196969291]	0.08036867421577298	550.7828752994537
70	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.9178121501787936	[0.3685840343, 0.5028445371, 0.1285714286]	0.08218784982120642	1034.528686285019
80	3	Fitzpatrick_and_Scott	0.05	Threshold=0.5	True	0.9151608884654459	[0.3654346824, 0.5029346824, 0.1316306352]	0.08483911153455415	1859.1405816078186
40	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.929829922186061	[0.2950512419, 0.6049487581, 0.1]	0.07017007781393902	67.61180901527405
50	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9404109927224995	[0.3214096176, 0.6014096176, 0.0771807648]	0.059589007277500494	205.19502091407776
60	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9331734019721596	[0.3068182021, 0.6068182021, 0.0863635958]	0.06682659802784041	349.9590334892273
70	3	Fitzpatrick_and_Scott	0.05	Threshold=0.6	True	0.9315919460678633	[0.2971554629, 0.6028445371, 0.1]	0.06840805393213667	806.2993614673615
40	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.952640696520909	[0.2450512419, 0.7049487581, 0.05]	0.04735930347909101	37.15399718284607
50	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.9599147642820285	[0.2385903824, 0.7014096176, 0.06]	0.04008523571797151	105.93424391746521
60	3	Fitzpatrick_and_Scott	0.05	Threshold=0.7	True	0.9551069375182087	[0.2568182021, 0.7068182021, 0.0363635958]	0.04489306248179126	198.09428215026855
40	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.9788317184694246	[0.1700512419, 0.8049487581, 0.025]	0.021168281530575372	13.166234731674194
50	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.9819376180435858	[0.1585903824, 0.8014096176, 0.04]	0.018062381956414186	30.821483373641968
60	3	Fitzpatrick_and_Scott	0.05	Threshold=0.8	True	0.9813281506248668	[0.1734848688, 0.8068182021, 0.0196969291]	0.01867184937513322	67.65116214752197
40	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	0.9959797090679764	[0.0700512419, 0.9049487581, 0.025]	0.004020290932023607	1.8824310302734375
50	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	0.999390892766397	[0.0614096176, 0.9185903824, 0.02]	0.0006091072336029679	5.316396951675415
60	3	Fitzpatrick_and_Scott	0.05	Threshold=0.9	True	0.9984435186652113	[0.0734848688, 0.9098484645, 0.0166666667]	0.0015564813347886952	8.267765760421753
